r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order
0.03,0.01,0.0067,0.0,48.690887451171875,-0.132109,-2.95151,5.759958,0.6840229433148155,0.7294582648998372,0.0018035487949448505,r003s001t00067,89.0
0.0,0.0,0.0133,0.0,11.516958236694336,0.0,-2.8194,6.447617,0.454357258312299,0.890791637906336,0.0070526346196406,t00133,90.0
0.0,0.005,0.0133,0.0,22.158790588378906,-0.132109,-2.95151,5.759958,0.6808734816924807,0.7323546674149137,0.00824275703573632,s0005t00133,91.0
0.0,0.01,0.0133,0.0,33.76117706298828,-0.132109,-2.95151,5.759958,0.6815782338065385,0.7316493223505123,0.011848219494745073,s001t00133,92.0
0.015,0.0,0.0133,0.0,16.19691276550293,0.0,-2.8194,6.447617,0.5564467975871291,0.38041760304574945,0.738680857169018,r0015t00133,93.0
0.015,0.005,0.0133,0.0,32.28919982910156,-0.132109,-2.95151,5.759958,0.6822809907644309,0.7310878886174581,0.0017744741118500829,r0015s0005t00133,94.0
0.015,0.01,0.0133,0.0,44.595001220703125,-0.132109,-2.95151,5.759958,0.6824211295859886,0.7309584280373504,0.0010855301694449788,r0015s001t00133,95.0
0.03,0.0,0.0133,0.0,28.644569396972656,0.0,-2.8194,6.447617,0.1774456444227008,0.04324180949265431,0.9831801407612002,r003t00133,96.0
0.03,0.005,0.0133,0.0,41.69120407104492,-0.132109,-2.95151,5.759958,0.6841422449390797,0.7293421850852008,0.0030603504473714674,r003s0005t00133,97.0
0.03,0.01,0.0133,0.0,53.95522689819336,-0.133193,-2.952593,6.349957,0.7277366758418938,0.6858557824957295,0.0010845514100577423,r003s001t00133,98.0
0.0,0.0,0.02,0.0,17.318735122680664,0.0,-2.8194,6.447617,0.45435746394592824,0.8907915330229664,0.007052634345960607,t002,99.0
0.0,0.005,0.02,0.0,27.47820472717285,-0.132109,-2.95151,5.759958,0.6804625499119,0.7327543696485687,0.006461573208125045,s0005t002,100.0
0.0,0.01,0.02,0.0,39.07854461669922,-0.132109,-2.95151,5.759958,0.681162774733631,0.7320636998287201,0.010000685489833462,s001t002,101.0
0.015,0.0,0.02,0.0,19.15757942199707,0.0,-2.8194,6.252317,0.5689291625203821,0.8181615238159063,-0.08325460336276089,r0015t002,102.0
0.015,0.005,0.02,0.0,37.6454963684082,-0.132109,-2.95151,5.759958,0.6816714519153628,0.7316564997498706,0.0016727275237762333,r0015s0005t002,103.0
0.015,0.01,0.02,0.0,49.95256805419922,-0.132109,-2.95151,5.759958,0.6819635435925306,0.7313850106728158,0.0013005282940933478,r0015s001t002,104.0
0.03,0.0,0.02,0.0,30.52484130859375,0.0,-2.8194,6.447617,0.331498527837161,0.13994538453860494,0.93301876475671,r003t002,105.0
0.03,0.005,0.02,0.0,47.017738342285156,-0.132109,-2.95151,5.759958,0.6829688934186723,0.730441942505512,0.002838882042032434,r003s0005t002,106.0
0.03,0.01,0.02,0.0,59.3050422668457,-0.132109,-2.95151,5.759958,0.6827019133579588,0.7306953219414353,0.0015633266723244184,r003s001t002,107.0
0.0,0.0,0.0,0.015,5.259772300720215,0.0,-2.8194,6.447617,0.398268326164864,0.9172687404043277,-0.000631071228512367,l0015,108.0
0.0,0.005,0.0,0.015,6.89897346496582,-0.132109,-2.95151,5.759958,0.6845595262211126,0.728197612326658,0.03326398144660385,s0005l0015,109.0
0.0,0.01,0.0,0.015,11.058392524719238,-0.132109,-2.95151,5.759958,0.6910075666248947,0.7217383303780743,0.04002905607444911,s001l0015,110.0
0.015,0.0,0.0,0.015,14.012190818786621,0.0,-2.8194,6.447617,0.26243476184572556,0.04864376012773315,-0.96372287529954,r0015l0015,111.0
0.015,0.005,0.0,0.015,14.60791301727295,-0.133192,-2.952593,6.154656,0.8885586709327363,0.4282029052570576,0.16463827088397415,r0015s0005l0015,112.0
0.015,0.01,0.0,0.015,15.890588760375977,-0.133193,-2.952593,6.349957,0.7610673514880416,0.6485785452027791,-0.01106151895646122,r0015s001l0015,113.0
0.03,0.0,0.0,0.015,26.32538414001465,0.0,-2.8194,6.447617,0.19219903401779675,0.01661282962560348,-0.9812153408984475,r003l0015,114.0
0.03,0.005,0.0,0.015,27.512451171875,-0.133192,-2.952593,6.154656,0.9496518358942891,0.27744505885174187,-0.14555284229914384,r003s0005l0015,115.0
0.03,0.01,0.0,0.015,28.45598030090332,-0.133192,-2.952593,6.154656,0.9254696394882395,0.36386692708334356,0.10538883128886553,r003s001l0015,116.0
0.0,0.0,0.0067,0.015,18.72654151916504,0.0,-2.8194,6.447617,0.4228538230139107,0.9061612569923261,0.008149888870883314,t00067l0015,117.0
0.0,0.005,0.0067,0.015,21.30086326599121,0.0,-2.8194,6.447617,0.4735919064790223,0.8805032626526921,0.020608507358116607,s0005t00067l0015,118.0
0.0,0.01,0.0067,0.015,29.391490936279297,-0.132109,-2.95151,5.759958,0.6817232872951116,0.7314695071483749,0.014342931069352902,s001t00067l0015,119.0
0.015,0.0,0.0067,0.015,20.974334716796875,0.0,-2.8194,6.447617,0.4908042918051892,0.8701699195150004,0.04376594928553612,r0015t00067l0015,120.0
0.015,0.005,0.0067,0.015,28.970455169677734,-0.132109,-2.95151,5.759958,0.6821019893196714,0.7312549202720043,0.0017657134907751943,r0015s0005t00067l0015,121.0
0.015,0.01,0.0067,0.015,38.258209228515625,-0.132109,-2.95151,5.759958,0.6834986164998869,0.729951128292823,0.000995764417428376,r0015s001t00067l0015,122.0
0.03,0.0,0.0067,0.015,31.549976348876953,0.0,-2.8194,6.447617,0.4636022483117028,0.2458081679736929,0.8512645299304741,r003t00067l0015,123.0
0.03,0.005,0.0067,0.015,37.20956039428711,-0.132109,-2.95151,5.759958,0.6949477522497124,0.7190464545582069,0.004451722177387233,r003s0005t00067l0015,124.0
0.03,0.01,0.0067,0.015,45.974117279052734,-0.133193,-2.952593,6.349957,0.7238991677050101,0.6898519008958531,-0.008622634537760476,r003s001t00067l0015,125.0
0.0,0.0,0.0133,0.015,25.594741821289062,0.0,-2.8194,6.447617,0.42925922218468116,0.9031434311857538,-0.008274229597132057,t00133l0015,126.0
0.0,0.005,0.0133,0.015,28.292749404907227,0.0,-2.8194,6.447617,0.4685821136914313,0.8832789823904792,0.015781064466949213,s0005t00133l0015,127.0
0.0,0.01,0.0133,0.015,35.114959716796875,-0.132109,-2.95151,5.759958,0.6810658733255696,0.7321323775588744,0.011465510074526489,s001t00133l0015,128.0
0.015,0.0,0.0133,0.015,27.272232055664062,0.0,-2.8194,6.447617,0.4314544410421208,0.9017766810172769,-0.02541422590785878,r0015t00133l0015,129.0
0.015,0.005,0.0133,0.015,34.71953201293945,-0.132109,-2.95151,5.759958,0.6812510727685812,0.7320484303263788,0.0014392735466926447,r0015s0005t00133l0015,130.0
0.015,0.01,0.0133,0.015,44.00684356689453,-0.132109,-2.95151,5.759958,0.6826266536340273,0.7307665451669431,0.0010527170464388394,r0015s001t00133l0015,131.0
0.03,0.0,0.0133,0.015,33.846153259277344,0.0,-2.8194,6.447617,0.4306401035979747,0.4300697515319411,0.7934665147253411,r003t00133l0015,132.0
0.03,0.005,0.0133,0.015,42.446231842041016,-0.132109,-2.95151,5.759958,0.6837163057574903,0.7297433623742678,0.0025764921944834923,r003s0005t00133l0015,133.0
0.03,0.01,0.0133,0.015,51.70529556274414,-0.133193,-2.952593,6.349957,0.7258404200761644,0.6878207519798124,-0.007635294989872377,r003s001t00133l0015,134.0
0.0,0.0,0.02,0.015,32.568546295166016,0.0,-2.8194,6.447617,0.43299690432441695,0.9013528466274663,-0.008759379089585241,t002l0015,135.0
0.0,0.005,0.02,0.015,35.392662048339844,0.0,-2.8194,6.447617,0.46497812007867867,0.8850708518176614,0.02109348503346858,s0005t002l0015,136.0
0.0,0.01,0.02,0.015,40.92707443237305,-0.132109,-2.95151,5.759958,0.6806059840466796,0.7325885796358116,0.009458724387296115,s001t002l0015,137.0
0.015,0.0,0.02,0.015,34.24126434326172,0.0,-2.8194,6.447617,0.43404678351954185,0.9007081368978748,-0.018117445799536586,r0015t002l0015,138.0
0.015,0.005,0.02,0.015,40.55982208251953,-0.132109,-2.95151,5.759958,0.6807127319152249,0.7325503241530879,0.0004463089929268518,r0015s0005t002l0015,139.0
0.015,0.01,0.02,0.015,49.84548568725586,-0.132109,-2.95151,5.759958,0.6819949329534889,0.7313557556989138,0.0012922971162788505,r0015s001t002l0015,140.0
0.03,0.0,0.02,0.015,37.9935302734375,0.0,-2.8194,6.447617,0.5528379680264254,0.8284849939224823,-0.08934649379621658,r003t002l0015,141.0
0.03,0.005,0.02,0.015,48.25771713256836,-0.132109,-2.95151,5.759958,0.6825143170599665,0.7308667958271542,0.0028166940757612027,r003s0005t002l0015,142.0
0.03,0.01,0.02,0.015,57.532737731933594,-0.132109,-2.95151,5.759958,0.6832116166784552,0.730219374791878,0.0012455979166735157,r003s001t002l0015,143.0
0.0,0.0,0.0,0.03,10.51954460144043,0.0,-2.8194,6.447617,0.398268326164864,0.9172687404043277,-0.000631071228512367,l003,144.0
0.0,0.005,0.0,0.03,9.65627670288086,-0.132109,-2.95151,5.759958,0.678792207630805,0.7339215145802873,0.0245020263626331,s0005l003,145.0
0.0,0.01,0.0,0.03,13.79794692993164,-0.132109,-2.95151,5.759958,0.6845595262211126,0.728197612326658,0.03326398144660385,s001l003,146.0
0.015,0.0,0.0,0.03,15.719169616699219,0.0,-2.8194,6.447617,0.37049384539594626,0.19174167022843894,-0.9088286100369711,r0015l003,147.0
0.015,0.005,0.0,0.03,15.374191284179688,-0.133192,-2.952593,6.154656,0.8244685477477286,0.5572564759452124,0.09857400160222077,r0015s0005l003,148.0
0.015,0.01,0.0,0.03,17.58495330810547,-0.133193,-2.952593,6.349957,0.7296668463973927,0.683761668600488,-0.007501587909257284,r0015s001l003,149.0
0.03,0.0,0.0,0.03,28.024381637573242,0.0,-2.8194,6.447617,0.26243476184572556,0.04864376012773315,-0.96372287529954,r003l003,150.0
0.03,0.005,0.0,0.03,28.27042579650879,-0.133192,-2.952593,6.154656,0.9044398783965668,0.3391989220897206,0.25871335029173775,r003s0005l003,151.0
0.03,0.01,0.0,0.03,29.2158260345459,-0.133192,-2.952593,6.154656,0.8885586722169371,0.4282029058743921,0.16463826234748766,r003s001l003,152.0
0.0,0.0,0.0067,0.03,30.483285903930664,0.0,-2.8194,6.447617,0.41741591381202453,0.9087121207782931,-0.0024972879468049916,t00067l003,153.0
0.0,0.005,0.0067,0.03,32.89126205444336,0.0,-2.8194,6.447617,0.4489980412420262,0.8932789147557406,0.02129646481531066,s0005t00067l003,154.0
0.0,0.01,0.0067,0.03,35.593910217285156,-0.132109,-2.95151,5.759958,0.6794761832890218,0.7336069687494615,0.011529602994458328,s001t00067l003,155.0
0.015,0.0,0.0067,0.03,32.14427185058594,0.0,-2.8194,6.447617,0.41964638341570715,0.9076198152426678,-0.011098822684544332,r0015t00067l003,156.0
0.015,0.005,0.0067,0.03,36.848541259765625,0.0,-2.8194,6.447617,0.47093684650624024,0.881855960718817,0.023421168789159126,r0015s0005t00067l003,157.0
0.015,0.01,0.0067,0.03,44.41687774658203,-0.132109,-2.95151,5.759958,0.6812216222269378,0.7320760864441744,0.001305782171985993,r0015s001t00067l003,158.0
0.03,0.0,0.0067,0.03,36.415191650390625,0.0,-2.8194,6.447617,0.5825025980049601,0.8093219452105098,-0.07542355280778393,r003t00067l003,159.0
0.03,0.005,0.0067,0.03,42.854888916015625,-0.132109,-2.95151,5.759958,0.682224378135084,0.7311358133852474,0.003212516722227284,r003s0005t00067l003,160.0
0.03,0.01,0.0067,0.03,52.11086654663086,-0.132109,-2.95151,5.759958,0.6827687937398647,0.730632020585703,0.0019038880910045523,r003s001t00067l003,161.0
0.0,0.0,0.0133,0.03,37.34904098510742,0.0,-2.8194,6.447617,0.42278630008197254,0.9061927456323282,0.008151823497772668,t00133l003,162.0
0.0,0.005,0.0133,0.03,39.88734817504883,0.0,-2.8194,6.447617,0.4496883368925596,0.8929790190427089,0.019206020210472356,s0005t00133l003,163.0
0.0,0.01,0.0133,0.03,42.495811462402344,0.0,-2.8194,6.447617,0.4736420599629732,0.8804751607464426,0.020656484273892457,s001t00133l003,164.0
0.015,0.0,0.0133,0.03,39.01039505004883,0.0,-2.8194,6.447617,0.4241676859784686,0.9054929716249613,0.012816103521286546,r0015t00133l003,165.0
0.015,0.005,0.0133,0.03,43.85612487792969,0.0,-2.8194,6.447617,0.4680936289776114,0.8834551193152862,0.01988483508062583,r0015s0005t00133l003,166.0
0.015,0.01,0.0133,0.03,50.170494079589844,-0.132109,-2.95151,5.759958,0.6808025078734297,0.7324661182752985,0.0011536255739615646,r0015s001t00133l003,167.0
0.03,0.0,0.0133,0.03,41.86334228515625,0.0,-2.8194,6.447617,0.49191100676015925,0.8695261894783717,0.0441335160555942,r003t00133l003,168.0
0.03,0.005,0.0133,0.03,48.581974029541016,-0.132109,-2.95151,5.759958,0.6812702929892354,0.7320275593077884,0.002537775451802477,r003s0005t00133l003,169.0
0.03,0.01,0.0133,0.03,57.85384750366211,-0.132109,-2.95151,5.759958,0.6821103692810087,0.7312470995905599,0.001767331242206753,r003s001t00133l003,170.0
0.0,0.0,0.02,0.03,44.32072830200195,0.0,-2.8194,6.447617,0.4265920096453394,0.9044084238671434,0.008041153207116814,t002l003,171.0
0.0,0.005,0.02,0.03,46.9897346496582,0.0,-2.8194,6.447617,0.4501825028134135,0.892761000614622,0.01770621196727357,s0005t002l003,172.0
0.0,0.01,0.02,0.03,49.592891693115234,0.0,-2.8194,6.447617,0.4707372490140947,0.8820924194611689,0.017871931059162478,s001t002l003,173.0
0.015,0.0,0.02,0.03,45.984619140625,0.0,-2.8194,6.447617,0.4275036616886949,0.9039337600970657,0.012015681401339007,r0015t002l003,174.0
0.015,0.005,0.02,0.03,50.9716911315918,0.0,-2.8194,6.447617,0.46602204091408495,0.8845935211768519,0.017825814825970766,r0015s0005t002l003,175.0
0.015,0.01,0.02,0.03,56.01271438598633,-0.132109,-2.95151,5.759958,0.6709246562453028,0.7415246363241194,0.0011486368028185033,r0015s001t002l003,176.0
0.03,0.0,0.02,0.03,47.76531219482422,0.0,-2.8194,6.447617,0.43414067391396244,0.9003594457556938,0.029576066202765604,r003t002l003,177.0
0.03,0.005,0.02,0.03,54.70064926147461,0.0,-2.8194,6.447617,0.47970036764133817,0.8774173183635761,0.005138746971384947,r003s0005t002l003,178.0
0.03,0.01,0.02,0.03,63.68855667114258,-0.132109,-2.95151,5.759958,0.681620915598325,0.7317040044946804,0.0014755423916832154,r003s001t002l003,179.0
